smiles,1,2,3
CCc1ccc(NC(=S)N2CCN(c3cccc(OC)c3)CC2)cc1,0.0,,
O=Cc1c(Cl)nc2ccccn2c1=O,0.0,,
CCN(CC)CCOc1ccc2c(c1)C(=NNC(=O)c1ccccn1)c1cc(OCCN(CC)CC)ccc1-2,0.0,,
COCCCn1c(N)c(C(=O)NCc2ccco2)c2nc3ccccc3nc21,0.0,,
Cc1ccccc1NC(=O)Cn1c(=O)sc2ccccc21,0.0,,
O=C(O)CCN1C(=O)C2CCCCC2C1=O,0.0,,
O=C(CN1C(=O)/C(=C/c2ccccc2Cl)SC1=S)NC1C=CS(=O)(=O)C1,0.0,,
COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1cnccn1,0.0,,
COc1ccc(N2CC(C(=O)Nc3nc4ccc(F)cc4s3)CC2=O)c(OC)c1,0.0,,
CC(C)(C)S(=O)(=O)c1cnc2c(-c3ccc(Cl)cc3)cnn2c1N,0.0,,
Cc1ccccc1CN1CCN(S(=O)(=O)c2cccc3nsnc23)CC1,0.0,,
CC(Cc1ccccc1)N/C=C1\CC(=O)NC1=O,0.0,,
CCc1ccccc1N1CSC2=C(C#N)C(c3cc(OC)c(OC)cc3OC)CC(=O)N2C1,0.0,,
CCn1c2ccccc2c2cc(NC(=O)COC(=O)c3cc(OC)c(OC)cc3OC)ccc21,0.0,,
Oc1[nH]c2ccccc2c1N=Nc1nc(Nc2ccccc2)nc(N2CCOCC2)n1,0.0,,
CNc1ccc(Br)cc(C(=O)/C=C/c2cc(OC)ccc2OC)c1=O,0.0,,
COc1cc(C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc([N+](=O)[O-])c1O,0.0,,
Cc1c(C(C)C)c(=O)n(-c2ccc(S(=O)(=O)NC(C)C)cc2)n1C,0.0,,
CCSc1oc(-c2cccs2)nc1S(=O)(=O)c1ccccc1,0.0,,
CCCCCC1(C)N=C(S)N(c2ccccc2)N1,0.0,,
Cc1ccc(-n2c(SCC(=O)O)nc3sc4c(c3c2=O)C(C)CCC4)cc1,0.0,,
Nc1ccc(-c2nc3c(Cl)cc(N)cc3[nH]2)cc1,0.0,,
CN(Cc1ccccc1)C(=S)NC(=O)c1ccc(-c2ccccc2)cc1,0.0,,
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,0.0,,
CCN1C(=O)c2cccc3c(S(=O)(=O)N(C(=O)c4cccnc4)c4ccc(OC)cc4)ccc1c23,0.0,,
CCc1ccccc1N1CSC2=C(C#N)C(c3ccccc3F)CC(=O)N2C1,0.0,,
CCC(=O)Nc1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,0.0,,
Cc1ccc(S(=O)(=O)NC(=O)c2ccc(-c3ccc(-c4ccccc4)cc3)o2)c(C)c1,0.0,,
O=c1c2ccccc2nc(/C=C/c2ccc(O)cc2)n1-c1cccc(O)c1,0.0,,
O=c1c2cc(N3CCOCC3)ccc2[nH]c(=S)n1CC1CCCO1,0.0,,
CC(C)c1ccc(CNCCCSc2ncccn2)cc1.Cl,0.0,,
Cc1cc(C)c2c(=O)n(CC(=O)NCCCN3CCN(c4ccccc4F)CC3)sc2n1,0.0,,
O=S(=O)(Nc1cc2nc3ccccc3nc2n1Cc1ccccc1)c1ccc(Cl)cc1,0.0,,
CCCCOC(=O)Cn1c(=O)n(CC(=O)OCCCC)c2cc(C)ccc21,0.0,,
O=C1ON=C(c2ccccc2)/C1=C\c1ccco1,0.0,,
O=C(O)c1ccccc1C(=O)N1CCN(c2ncccn2)CC1,0.0,,
CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)c1ccc(C(=O)O)cc1,0.0,,
COc1ccc(C(=O)CSc2ccc(-c3ccco3)nn2)cc1,0.0,,
CC1CCCC(NC(=O)CCCn2c(=O)[nH]c3cc(Cl)ccc3c2=O)C1C,0.0,,
Cc1ccc(-c2cc(C(=O)OCC(=O)N(C)C3CCS(=O)(=O)C3)c3ccccc3n2)o1,0.0,,
N#C/C(=C/c1ccco1)C(N)=S,0.0,,
CSCC[C@H](NC(=O)Cc1c(C)c2c(cc(C)c3c(C)c(C)oc32)oc1=O)C(=O)O,0.0,,
N=C1/C(=C\c2ccc(SCc3ccco3)o2)C(=O)N=C2SC=NN12,0.0,,
Cc1cccc(N2C(=O)NC(=O)/C(=C\c3cnn(-c4ccccc4)c3)C2=O)c1,0.0,,
O=C(O)CN1C(=O)/C(=C2\C(=O)N(Cc3ccccc3Cl)c3ccccc32)SC1=S,0.0,,
COc1cc(CN2CCN(C(=O)CC(C)C)CC2)cc(OC)c1OC,0.0,,
CCOc1ccc(CCNC(=O)c2cc3sc(Cl)cc3n2C)cc1OCC,0.0,,
Cc1ccc(CSCC2Nc3ccc(C(=O)N4CCN(c5cccc(C)c5)C(C)C4)cc3NC2=O)cc1,0.0,,
NC(=O)CC(N=C(S)NCc1ccccc1)C(=O)O,0.0,,
Sc1nnc(-c2ccc3ccccc3n2)n1-c1ccc(Cl)cc1,0.0,,
CN(c1ccc(C(=O)NCc2ccncc2)cc1)S(=O)(=O)c1ccc(Cl)cc1,0.0,,
O=C(Cn1cc(C(F)(F)F)ccc1=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.0,,
CC(C)c1ccc(SCc2noc(C(=O)NCC3CCCO3)c2C(=O)O)cc1,0.0,,
